term,statistic,bias,std.error,conf.low,conf.high
factor(incar_ever1)Incarcerated,1.11934570443536,0.00171801501290347,0.0217408277604431,1.08114804917778,1.16970689950818
factor(incar_ever0)Incarcerated,1.23425704020358,0.00887039346828433,0.095403448571218,1.06691352281372,1.44288368237517
scale(age_base),0.31726295534068,-0.00162458247898634,0.0186003819707501,0.281159752113138,0.355360847639134
factor(sex)Male,1.01334021194889,-0.00094374646015849,0.0491962122392815,0.912201477667819,1.10683529666534
factor(race_ethn)Black,2.51495880902638,0.0191097705017671,0.166592517591785,2.21321678639613,2.87766004045104
factor(race_ethn)Hispanic,2.18803458478684,0.0178696583444968,0.16249136340863,1.8981859420493,2.54778340337055
factor(race_ethn)Other,2.05776971995915,0.0243168849447826,0.290374759248018,1.55333492071047,2.68813520339931
factor(edu)less than hs,2.34414323755482,0.0157806790005606,0.125275747122436,2.11727721568564,2.62357753515291
scale(social_origins),1.03745109111373,-0.00148598641560072,0.0233562403819476,0.991855004822565,1.08384397493434
factor(smoke_ever)1,1.14902622035175,0.00322433646307529,0.0518643693124374,1.05743401205095,1.25467268663147
factor(stroke_ever)1,1.31411390423584,0.00234497690736135,0.0972855199964763,1.13198026278488,1.51644913141943
TE,1.38156031612098,0.0118513235780162,0.107526373238496,1.19089107427171,1.6129940829853
DE,1.23425704020358,0.00887039346828433,0.095403448571218,1.06691352281372,1.44288368237517
IE,1.11934570443536,0.00171801501290347,0.0217408277604431,1.08114804917778,1.16970689950818
PM,0.34882303385595,0.0198159982415471,0.12233504923193,0.211722033468101,0.649943574686917
