term,statistic,bias,std.error,conf.low,conf.high
factor(incar_ever1)Incarcerated,1.10754736440915,0.00138017319476336,0.020313066124567,1.0732445506241,1.15358513311999
factor(incar_ever0)Incarcerated,1.28598253937037,0.00588757805152329,0.093252637499686,1.11371336495713,1.47887603113315
factor(sex)Male,0.857277033811677,-0.00173526352344089,0.0405533780041034,0.774733814527548,0.933816523705503
factor(race_ethn)Black,2.14055246444368,0.0185101049187457,0.143067141953525,1.88719633023484,2.46225135471816
factor(race_ethn)Hispanic,1.99274818073073,0.0156488111413755,0.145131975259088,1.72049206576784,2.3021338182143
factor(race_ethn)Other,1.86605436992837,0.0296347546749229,0.265208715573124,1.40429825436035,2.49411241304598
factor(edu)less than hs,2.17176726637834,0.0145758095411312,0.115163077822486,1.96069462162983,2.43397274890597
scale(social_origins),1.0319082885373,-0.00139732772860257,0.0228252178442895,0.987304310522575,1.07626076111317
factor(smoke_ever)1,1.1563245921881,0.00322632004801937,0.0518041650111385,1.06224855464606,1.26027339179746
factor(stroke_ever)1,1.25027956943595,0.000590068635464291,0.0909596048674573,1.07666762289412,1.44020457642839
TE,1.42428657215584,0.00811095155865349,0.104020301476214,1.23553392888377,1.64806941430476
DE,1.28598253937037,0.00588757805152329,0.093252637499686,1.11371336495713,1.47887603113315
IE,1.10754736440915,0.00138017319476336,0.020313066124567,1.0732445506241,1.15358513311999
PM,0.288822035817047,0.0127594970828643,0.0831671804036384,0.176528893443966,0.511855913435674
